step,agent_loc,target_loc,item_locs,item_times,reward,agent_load
321,"(2, 0)","(2, 0)",[],[],6.5,0
322,"(2, 0)","(2, 0)",[],[],0.0,0
323,"(2, 0)","(2, 0)",[],[],0.0,0
324,"(2, 0)","(2, 0)",[],[],0.0,0
325,"(2, 1)","(2, 0)","[(3, 4)]",[0],-1,0
326,"(2, 2)","(2, 0)","[(3, 4)]",[1],-1,0
327,"(2, 3)","(2, 0)","[(3, 4)]",[2],-1,0
328,"(2, 4)","(2, 0)","[(3, 4)]",[3],-1,0
329,"(3, 4)","(2, 0)",[],[],6.5,1
330,"(3, 3)","(2, 0)",[],[],-1,1
331,"(3, 2)","(2, 0)",[],[],-1,1
332,"(3, 1)","(2, 0)",[],[],-1,1
333,"(3, 0)","(2, 0)","[(0, 2)]",[0],-1,1
334,"(2, 0)","(2, 0)","[(0, 2), (1, 1)]","[1, 0]",6.5,0
335,"(2, 1)","(2, 0)","[(0, 2), (1, 1)]","[2, 1]",-1,0
336,"(1, 1)","(2, 0)","[(0, 2)]",[3],6.5,1
337,"(1, 0)","(2, 0)","[(0, 2)]",[4],-1,1
338,"(2, 0)","(2, 0)","[(0, 2), (3, 3)]","[5, 0]",6.5,0
339,"(2, 1)","(2, 0)","[(0, 2), (3, 3)]","[6, 1]",-1,0
340,"(1, 1)","(2, 0)","[(0, 2), (3, 3)]","[7, 2]",-1,0
341,"(1, 2)","(2, 0)","[(0, 2), (3, 3)]","[8, 3]",-1,0
342,"(0, 2)","(2, 0)","[(3, 3)]",[4],6.5,1
343,"(0, 1)","(2, 0)","[(3, 3)]",[5],-1,1
344,"(0, 0)","(2, 0)","[(3, 3), (4, 4)]","[6, 0]",-1,1
345,"(1, 0)","(2, 0)","[(3, 3), (4, 4)]","[7, 1]",-1,1
346,"(2, 0)","(2, 0)","[(3, 3), (4, 4)]","[8, 2]",6.5,0
347,"(3, 0)","(2, 0)","[(3, 3), (4, 4)]","[9, 3]",-1,0
348,"(3, 1)","(2, 0)","[(4, 4)]",[4],-1,0
349,"(3, 2)","(2, 0)","[(4, 4), (1, 0)]","[5, 0]",-1,0
350,"(3, 3)","(2, 0)","[(4, 4), (1, 0)]","[6, 1]",-1,0
351,"(3, 4)","(2, 0)","[(4, 4), (1, 0)]","[7, 2]",-1,0
352,"(4, 4)","(2, 0)","[(1, 0)]",[3],6.5,1
353,"(4, 3)","(2, 0)","[(1, 0)]",[4],-1,1
354,"(4, 2)","(2, 0)","[(1, 0)]",[5],-1,1
355,"(4, 1)","(2, 0)","[(1, 0)]",[6],-1,1
356,"(4, 0)","(2, 0)","[(1, 0)]",[7],-1,1
357,"(3, 0)","(2, 0)","[(1, 0), (4, 3)]","[8, 0]",-1,1
358,"(2, 0)","(2, 0)","[(1, 0), (4, 3)]","[9, 1]",6.5,0
359,"(1, 0)","(2, 0)","[(4, 3)]",[2],6.5,1
360,"(2, 0)","(2, 0)","[(4, 3)]",[3],6.5,0
361,"(2, 0)","(2, 0)","[(4, 3), (4, 4)]","[4, 0]",0.0,0
362,"(3, 0)","(2, 0)","[(4, 3), (4, 4)]","[5, 1]",-1,0
363,"(3, 1)","(2, 0)","[(4, 3), (4, 4), (0, 3)]","[6, 2, 0]",-1,0
364,"(3, 2)","(2, 0)","[(4, 3), (4, 4), (0, 3)]","[7, 3, 1]",-1,0
365,"(3, 3)","(2, 0)","[(4, 3), (4, 4), (0, 3)]","[8, 4, 2]",-1,0
366,"(4, 3)","(2, 0)","[(4, 4), (0, 3), (1, 0)]","[5, 3, 0]",6.5,1
367,"(4, 2)","(2, 0)","[(4, 4), (0, 3), (1, 0)]","[6, 4, 1]",-1,1
