step,agent_loc,target_loc,item_locs,item_times,reward,agent_load,action_probs
94,"(1, 2)","(2, 0)","[(4, 4)]",[4],-1,2,"[3.781254065415851e-07, 8.742297857855519e-11, 0.5374549031257629, 0.462544709444046, 1.2526449877370283e-09]"
95,"(2, 2)","(2, 0)","[(4, 4)]",[5],-1,2,"[9.225562394021836e-07, 3.4863686937391947e-10, 0.5081956386566162, 0.49180346727371216, 4.0302836623595795e-09]"
96,"(3, 2)","(2, 0)","[(4, 4), (0, 2), (1, 0)]","[6, 0, 0]",-1,2,"[5.761895863543032e-06, 6.636494020995087e-08, 0.739709198474884, 0.2602849006652832, 7.500479881628053e-08]"
97,"(3, 3)","(2, 0)","[(4, 4), (0, 2), (1, 0)]","[7, 1, 1]",-1,2,"[1.6971569493762217e-05, 7.3917960641267655e-09, 0.22280927002429962, 0.7771725654602051, 1.1669021660054568e-06]"
98,"(3, 4)","(2, 0)","[(4, 4), (0, 2), (1, 0), (4, 3)]","[8, 2, 2, 0]",-1,2,"[4.852584970649332e-05, 2.8331678336712685e-08, 0.0034542663488537073, 0.9964040517807007, 9.314159979112446e-05]"
99,"(4, 4)","(2, 0)","[(0, 2), (1, 0), (4, 3)]","[3, 3, 1]",6.5,3,"[1.6203348423005082e-05, 0.1211908832192421, 1.340207944622307e-07, 6.711624678246153e-07, 0.8787921667098999]"
100,"(4, 3)","(2, 0)","[(0, 2), (1, 0), (4, 3)]","[4, 4, 2]",-1,3,"[1.7515585568617098e-05, 0.3105704188346863, 5.573000976255571e-07, 6.78805861298315e-07, 0.6894108057022095]"
101,"(3, 3)","(2, 0)","[(0, 2), (1, 0), (4, 3)]","[5, 5, 3]",-1,3,"[2.1033918073953828e-06, 0.0022649154998362064, 2.0290622515517498e-08, 8.605745165368717e-07, 0.9977320432662964]"
102,"(3, 2)","(2, 0)","[(0, 2), (1, 0), (4, 3)]","[6, 6, 4]",-1,3,"[2.5793838176468853e-06, 0.005200133193284273, 1.8935071466330555e-07, 1.1221146678508376e-06, 0.9947959780693054]"
103,"(3, 1)","(2, 0)","[(0, 2), (1, 0), (4, 3)]","[7, 7, 5]",-1,3,"[4.791912215296179e-05, 0.09632393717765808, 2.2136320694698952e-05, 9.446891453990247e-06, 0.9035965204238892]"
104,"(3, 0)","(2, 0)","[(0, 2), (1, 0), (4, 3)]","[8, 8, 6]",-1,3,"[0.00016062620852608234, 0.9924001693725586, 0.0008366092806681991, 2.212855724792462e-05, 0.006580388639122248]"
105,"(2, 0)","(2, 0)","[(0, 2), (1, 0), (4, 3), (0, 1)]","[9, 9, 7, 0]",21.5,0,"[1.4442839528783225e-05, 0.9989357590675354, 0.0010440197074785829, 8.020772952477273e-07, 5.026191047363682e-06]"
106,"(1, 0)","(2, 0)","[(4, 3), (0, 1)]","[8, 1]",6.5,1,"[1.8224096493213437e-05, 0.9534158110618591, 0.04656562954187393, 2.834866847933881e-07, 1.0169271291715631e-07]"
107,"(0, 0)","(2, 0)","[(4, 3), (0, 1)]","[9, 2]",-1,1,"[0.00010930689313681796, 9.967020014300942e-05, 0.9958527088165283, 0.003938205540180206, 8.987125710291366e-08]"
108,"(0, 1)","(2, 0)",[],[],6.5,2,"[1.689490858325371e-07, 2.910721663695881e-11, 0.0023523387499153614, 0.9976467490196228, 7.815979756742308e-07]"
109,"(1, 1)","(2, 0)",[],[],-1,2,"[7.175740961429256e-07, 5.506526346010787e-10, 1.250381683348678e-05, 0.999531626701355, 0.00045511219650506973]"
110,"(2, 1)","(2, 0)","[(1, 3)]",[0],-1,2,"[6.509328522952273e-05, 0.0941362977027893, 0.9057904481887817, 7.891350833233446e-06, 2.1564979135746398e-07]"
111,"(2, 2)","(2, 0)","[(1, 3)]",[1],-1,2,"[0.00015262604574672878, 0.2469162940979004, 0.7529168725013733, 1.964317107194802e-06, 1.2199090633657761e-05]"
112,"(2, 3)","(2, 0)","[(1, 3)]",[2],-1,2,"[0.00018136174185201526, 0.9962809681892395, 0.0021195251028984785, 8.467259817734885e-07, 0.0014173996169120073]"
113,"(1, 3)","(2, 0)",[],[],6.5,3,"[2.230568861705251e-05, 5.547244199988199e-06, 3.799411160798627e-06, 0.09137521684169769, 0.9085931181907654]"
114,"(1, 2)","(2, 0)",[],[],-1,3,"[9.662366210250184e-06, 2.5862715347102494e-07, 1.3705843230127357e-05, 0.9056656956672668, 0.0943107157945633]"
115,"(2, 2)","(2, 0)",[],[],-1,3,"[1.1050552757296828e-06, 1.822342528612353e-05, 6.988980771893694e-08, 8.075317600741982e-05, 0.9998998641967773]"
116,"(2, 1)","(2, 0)",[],[],-1,3,"[2.5937928512576036e-05, 7.389437087113038e-05, 8.301708476210479e-06, 0.0015091410605236888, 0.9983826875686646]"
117,"(2, 0)","(2, 0)",[],[],21.5,0,"[0.0003494184056762606, 0.0038238673005253077, 0.48089489340782166, 0.5149029493331909, 2.8866143111372367e-05]"
118,"(3, 0)","(2, 0)",[],[],-1,0,"[0.00021595542784780264, 0.21435905992984772, 0.7812293767929077, 0.004188495688140392, 7.12338623998221e-06]"
119,"(3, 1)","(2, 0)",[],[],-1,0,"[3.289452797616832e-05, 0.08169412612915039, 0.9182122349739075, 6.0193018725840375e-05, 5.08188179537683e-07]"
120,"(3, 2)","(2, 0)",[],[],-1,0,"[8.291145786643028e-05, 0.22833818197250366, 0.7715753316879272, 2.735296675382415e-06, 8.57610359616956e-07]"
121,"(3, 3)","(2, 0)",[],[],-1,0,"[0.0006728942971676588, 0.9984450936317444, 0.0008514523506164551, 6.823877356509911e-07, 2.9988590540597215e-05]"
122,"(2, 3)","(2, 0)",[],[],-1,0,"[0.9373162388801575, 0.005168496165424585, 0.03548790514469147, 0.01970592699944973, 0.0023214477114379406]"
123,"(2, 3)","(2, 0)",[],[],0,0,"[0.9373162388801575, 0.005168496165424585, 0.03548790514469147, 0.01970592699944973, 0.0023214477114379406]"
124,"(2, 3)","(2, 0)",[],[],0,0,"[0.9373162388801575, 0.005168496165424585, 0.03548790514469147, 0.01970592699944973, 0.0023214477114379406]"
125,"(2, 3)","(2, 0)",[],[],0,0,"[0.9373162388801575, 0.005168496165424585, 0.03548790514469147, 0.01970592699944973, 0.0023214477114379406]"
126,"(2, 3)","(2, 0)","[(4, 4)]",[0],0,0,"[5.7651172937767114e-06, 7.628250253688407e-10, 0.18942183256149292, 0.8105721473693848, 1.787082197779455e-07]"
127,"(3, 3)","(2, 0)","[(4, 4)]",[1],-1,0,"[7.183820707723498e-05, 2.8237273852482758e-08, 0.3056636452674866, 0.694259524345398, 5.0356484280200675e-06]"
128,"(3, 4)","(2, 0)","[(4, 4)]",[2],-1,0,"[0.0023494192864745855, 1.2688222739143384e-07, 0.004768621176481247, 0.9927009344100952, 0.00018091921810992062]"
129,"(4, 4)","(2, 0)",[],[],6.5,1,"[0.00026017785421572626, 0.7445411086082458, 3.470222225132602e-07, 2.0833313101320527e-06, 0.25519630312919617]"
130,"(3, 4)","(2, 0)",[],[],-1,1,"[0.00012990651885047555, 0.017130229622125626, 5.050066675948983e-08, 7.112423190847039e-06, 0.9827326536178589]"
131,"(3, 3)","(2, 0)",[],[],-1,1,"[0.00011306224041618407, 0.06013438478112221, 8.577266896736546e-08, 5.185297140997136e-06, 0.9397472739219666]"
132,"(3, 2)","(2, 0)",[],[],-1,1,"[9.269015572499484e-05, 0.424556165933609, 5.261302362669085e-07, 4.330903266236419e-06, 0.5753462910652161]"
133,"(3, 1)","(2, 0)",[],[],-1,1,"[4.4346030335873365e-05, 0.966650128364563, 7.216549875010969e-06, 2.1377518351073377e-06, 0.03329619765281677]"
134,"(2, 1)","(2, 0)",[],[],-1,1,"[1.0953217497444712e-05, 5.2393701480468735e-05, 6.02680003680689e-08, 0.00013730926730204374, 0.9997993111610413]"
135,"(2, 0)","(2, 0)",[],[],6.5,0,"[0.0003494184056762606, 0.0038238673005253077, 0.48089489340782166, 0.5149029493331909, 2.8866143111372367e-05]"
136,"(2, 1)","(2, 0)","[(3, 2)]",[0],-1,0,"[5.30943270860007e-06, 3.386648828040961e-08, 0.330152690410614, 0.6698410511016846, 8.581567954024649e-07]"
137,"(2, 2)","(2, 0)","[(3, 2)]",[1],-1,0,"[1.6465612134197727e-05, 1.9399601924874332e-09, 0.007244158070534468, 0.9927120208740234, 2.7357566068531014e-05]"
138,"(3, 2)","(2, 0)",[],[],6.5,1,"[9.269015572499484e-05, 0.424556165933609, 5.261302362669085e-07, 4.330903266236419e-06, 0.5753462910652161]"
139,"(3, 1)","(2, 0)",[],[],-1,1,"[4.4346030335873365e-05, 0.966650128364563, 7.216549875010969e-06, 2.1377518351073377e-06, 0.03329619765281677]"
140,"(2, 1)","(2, 0)","[(2, 3)]",[0],-1,1,"[1.970949597307481e-05, 0.00010441707127029076, 0.9900200366973877, 0.009855679236352444, 6.395416818349986e-08]"
141,"(2, 2)","(2, 0)","[(2, 3)]",[1],-1,1,"[1.1421755516494159e-05, 1.566250489304366e-06, 0.9996309280395508, 0.000356040196493268, 3.7089815663193804e-08]"
142,"(2, 3)","(2, 0)",[],[],6.5,2,"[1.8744788121694e-06, 2.665878491825424e-05, 5.3536117761154856e-09, 1.9479575712466612e-05, 0.999951958656311]"
143,"(2, 2)","(2, 0)",[],[],-1,2,"[5.775971771981858e-07, 1.1044322491216008e-05, 4.356797589366579e-09, 2.3441225494025275e-05, 0.9999649524688721]"
144,"(2, 1)","(2, 0)",[],[],-1,2,"[3.908510279870825e-06, 2.659275196492672e-05, 3.471031959634274e-07, 0.0001483326341258362, 0.99982088804245]"
145,"(2, 0)","(2, 0)",[],[],14.0,0,"[0.0003494184056762606, 0.0038238673005253077, 0.48089489340782166, 0.5149029493331909, 2.8866143111372367e-05]"
146,"(2, 1)","(2, 0)",[],[],-1,0,"[0.0001258287375094369, 0.0003503488842397928, 0.8719269633293152, 0.12759311497211456, 3.720449740285403e-06]"
147,"(2, 2)","(2, 0)",[],[],-1,0,"[5.403256000136025e-05, 8.17106592876371e-06, 0.9991822838783264, 0.0007553067407570779, 1.8750439778614236e-07]"
148,"(2, 3)","(2, 0)",[],[],-1,0,"[0.9373162388801575, 0.005168496165424585, 0.03548790514469147, 0.01970592699944973, 0.0023214477114379406]"
